Year,Presidency,Division,House,Senate,President
1962,Democrat ,Unified,Democrats,Democrats,Kennedy
1963,Democrat ,Unified,Democrats,Democrats,Kennedy / L. Johnson
1964,Democrat ,Unified,Democrats,Democrats,Kennedy / L. Johnson
1965,Democrat ,Unified,Democrats,Democrats,L. Johnson
1966,Democrat ,Unified,Democrats,Democrats,L. Johnson
1967,Democrat ,Unified,Democrats,Democrats,L. Johnson
1968,Democrat ,Unified,Democrats,Democrats,L. Johnson
1969,Republican ,Divided,Democrats,Democrats,Nixon
1970,Republican ,Divided,Democrats,Democrats,Nixon
1971,Republican ,Divided,Democrats,Democrats,Nixon
1972,Republican ,Divided,Democrats,Democrats,Nixon
1973,Republican ,Divided,Democrats,Democrats,Nixon / Ford
1974,Republican ,Divided,Democrats,Democrats,Nixon / Ford
1975,Republican ,Divided,Democrats,Democrats,Ford
1976,Republican ,Divided,Democrats,Democrats,Ford
1977,Democrat ,Unified,Democrats,Democrats,Carter
1978,Democrat ,Unified,Democrats,Democrats,Carter
1979,Democrat ,Unified,Democrats,Democrats,Carter
1980,Democrat ,Unified,Democrats,Democrats,Carter
1981,Republican ,Divided,Democrats,Republicans,Reagan
1982,Republican ,Divided,Democrats,Republicans,Reagan
1983,Republican ,Divided,Democrats,Republicans,Reagan
1984,Republican ,Divided,Democrats,Republicans,Reagan
1985,Republican ,Divided,Democrats,Republicans,Reagan
1986,Republican ,Divided,Democrats,Republicans,Reagan
1987,Republican ,Divided,Democrats,Democrats,Reagan
1988,Republican ,Divided,Democrats,Democrats,Reagan
1989,Republican ,Divided,Democrats,Democrats,G.H.W. Bush
1990,Republican ,Divided,Democrats,Democrats,G.H.W. Bush
1991,Republican ,Divided,Democrats,Democrats,G.H.W. Bush
1992,Republican ,Divided,Democrats,Democrats,G.H.W. Bush
1993,Democrat ,Unified,Democrats,Democrats,Clinton
1994,Democrat ,Unified,Democrats,Democrats,Clinton
1995,Democrat ,Divided,Republicans,Republicans,Clinton
1996,Democrat ,Divided,Republicans,Republicans,Clinton
1997,Democrat ,Divided,Republicans,Republicans,Clinton
1998,Democrat ,Divided,Republicans,Republicans,Clinton
1999,Democrat ,Divided,Republicans,Republicans,Clinton
2000,Democrat ,Divided,Republicans,Republicans,Clinton
2001,Republican ,Divided,Republicans,,G.W. Bush
2002,Republican ,Divided,Republicans,,G.W. Bush
2003,Republican ,Unified,Republicans,Republicans,G.W. Bush
2004,Republican ,Unified,Republicans,Republicans,G.W. Bush
2005,Republican ,Unified,Republicans,Republicans,G.W. Bush
2006,Republican ,Unified,Republicans,Republicans,G.W. Bush
2007,Republican ,Divided,Democrats,Democrats,G.W. Bush
2008,Republican ,Divided,Democrats,Democrats,G.W. Bush
2009,Democrat ,Unified,Democrats,Democrats,Obama
2010,Democrat ,Unified,Democrats,Democrats,Obama
2011,Democrat ,Divided,Republicans,Democrats,Obama
2012,Democrat ,Divided,Republicans,Democrats,Obama
2013,Democrat ,Divided,Republicans,Democrats,Obama
2014,Democrat ,Divided,Republicans,Democrats,Obama
2015,Democrat ,Divided,Republicans,Republicans,Obama
2016,Democrat ,Divided,Republicans,Republicans,Obama
2017,Republican ,Unified,Republicans,Republicans,Trump
2018,Republican ,Unified,Republicans,Republicans,Trump
2019,Republican ,Divided,Democrats,Republicans,Trump
2020,Republican ,Divided,Democrats,Republicans,Trump
2021,Democrat ,Unified,Democrats,Democrats,Biden
2022,Democrat ,Unified,Democrats,Democrats,Biden
